routeStationId	latitude	longitude	index
f8726964-4463-4ae2-af8e-61b0686f68b8	12.924116	100.89147	10
cf6261e1-ac36-41de-a0f2-2b62ec3480ea	12.939337	100.901343	4
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.924354	100.867871	21
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.924464	100.871619	6
f19836b0-5857-425e-8743-4f53eb6f2059	12.919033	100.895032	6
850fb373-2514-4c2e-8055-87bfb52c4bc6	12.929411	100.88872	0
4c4d9aa0-be42-4ce1-945f-a1fa0a017d5d	12.941393	100.887891	5
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.924117	100.872324	3
1f12eb9f-b1a1-40a2-bd8a-31380bf0321a	12.942654	100.894524	1
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.923846	100.869139	15
a88cb99a-a15b-42b0-a2bf-d9be23c9e2e9	12.926155	100.875327	5
f19836b0-5857-425e-8743-4f53eb6f2059	12.919063	100.89624	1
1f12eb9f-b1a1-40a2-bd8a-31380bf0321a	12.942548	100.894719	0
f8726964-4463-4ae2-af8e-61b0686f68b8	12.92378	100.891424	9
2f278289-6d34-4aab-b03d-2e9d53878732	12.918944	100.89667	3
25c796ae-8c2a-45e6-ba21-09b30e6788b9	12.940737	100.897215	4
ef93960a-e6a2-49eb-a3eb-44419803f074	12.924122	100.898627	4
25c796ae-8c2a-45e6-ba21-09b30e6788b9	12.942282	100.896034	8
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.923759	100.872984	0
f19836b0-5857-425e-8743-4f53eb6f2059	12.919232	100.895914	2
1b70c501-0c87-4b9f-a3ec-3af46283dc4c	12.916598	100.897789	13
850fb373-2514-4c2e-8055-87bfb52c4bc6	12.929362	100.885968	4
b5d290ec-8baa-4b7a-ad37-921199a973bc	12.925255	100.873988	2
f8726964-4463-4ae2-af8e-61b0686f68b8	12.924761	100.891216	12
1b70c501-0c87-4b9f-a3ec-3af46283dc4c	12.915062	100.899341	8
f8726964-4463-4ae2-af8e-61b0686f68b8	12.926854	100.88968	18
cf6261e1-ac36-41de-a0f2-2b62ec3480ea	12.938906	100.902382	2
1b70c501-0c87-4b9f-a3ec-3af46283dc4c	12.914256	100.901719	3
1f12eb9f-b1a1-40a2-bd8a-31380bf0321a	12.943157	100.892482	5
b5d290ec-8baa-4b7a-ad37-921199a973bc	12.923939	100.873056	5
f19836b0-5857-425e-8743-4f53eb6f2059	12.919064	100.895141	5
fa455ce4-3f00-426e-bd90-4111adfb4dd3	12.942643	100.884765	4
25c796ae-8c2a-45e6-ba21-09b30e6788b9	12.942507	100.89491	10
f8726964-4463-4ae2-af8e-61b0686f68b8	12.920563	100.892651	1
4d801fbc-bd86-4e85-a1bf-0358b3c4d32e	12.929411	100.88872	9
fa455ce4-3f00-426e-bd90-4111adfb4dd3	12.94162	100.88698	2
1b70c501-0c87-4b9f-a3ec-3af46283dc4c	12.911991	100.901931	0
25c796ae-8c2a-45e6-ba21-09b30e6788b9	12.941413	100.896322	6
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.92438	100.867375	24
b5d290ec-8baa-4b7a-ad37-921199a973bc	12.92447	100.873183	3
1b70c501-0c87-4b9f-a3ec-3af46283dc4c	12.916747	100.898775	12
4c4d9aa0-be42-4ce1-945f-a1fa0a017d5d	12.941135	100.888407	4
4d801fbc-bd86-4e85-a1bf-0358b3c4d32e	12.927689	100.888451	3
b03040e5-a635-45c6-b51c-bf32334b1af8	12.938472	100.898765	2
ef93960a-e6a2-49eb-a3eb-44419803f074	12.917686	100.896753	2
f8726964-4463-4ae2-af8e-61b0686f68b8	12.923494	100.891514	8
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.923799	100.869001	16
1b70c501-0c87-4b9f-a3ec-3af46283dc4c	12.912027	100.901462	1
fa455ce4-3f00-426e-bd90-4111adfb4dd3	12.941393	100.887891	0
2f278289-6d34-4aab-b03d-2e9d53878732	12.918535	100.896979	1
25c796ae-8c2a-45e6-ba21-09b30e6788b9	12.942597	100.896092	9
f8726964-4463-4ae2-af8e-61b0686f68b8	12.920869	100.892353	2
f19836b0-5857-425e-8743-4f53eb6f2059	12.919266	100.895845	3
f8726964-4463-4ae2-af8e-61b0686f68b8	12.92608	100.89044	15
f8726964-4463-4ae2-af8e-61b0686f68b8	12.924513	100.891411	11
4d801fbc-bd86-4e85-a1bf-0358b3c4d32e	12.926854	100.88968	0
cf6261e1-ac36-41de-a0f2-2b62ec3480ea	12.939729	100.900264	5
